S/N,"Full Name - First Name, Last Name",Gross Income CAD($),Sex,Date of Birth,Marital Status
52,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
53,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
54,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
55,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
56,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
57,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
58,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
59,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
60,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
61,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
62,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
63,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
64,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
65,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
66,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
67,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
68,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
69,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
70,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
71,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
72,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
73,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
74,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
75,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
76,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
77,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
78,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
79,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
80,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
81,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
82,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
83,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
84,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
85,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
86,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
87,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
88,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
89,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
90,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
91,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
92,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
93,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
94,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
95,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
96,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
97,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
98,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
99,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
100,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
101,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
102,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
103,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
104,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
105,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
106,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
107,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
108,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
109,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
110,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
111,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
112,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
113,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
114,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
115,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
116,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
117,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
118,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
119,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
120,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
121,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
122,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
123,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
124,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
125,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
126,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
127,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
128,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
129,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
130,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
131,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
132,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
133,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
134,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
135,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
136,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
137,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
138,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
139,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
140,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
141,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
142,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
143,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
144,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
145,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
146,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
147,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
148,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
149,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
150,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
151,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
152,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
153,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
154,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
155,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
156,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
157,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
158,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
159,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
160,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
161,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
162,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
163,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
164,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
165,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
166,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
167,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
168,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
169,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
170,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
171,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
172,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
173,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
174,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
175,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
176,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
177,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
178,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
179,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
180,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
181,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
182,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
183,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
184,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
185,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
186,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
187,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
188,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
189,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
190,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
191,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
192,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
193,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
194,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
195,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
196,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
197,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
198,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
199,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
200,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
201,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
202,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
203,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
204,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
205,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
206,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
207,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
208,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
209,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
210,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
211,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
212,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
213,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
214,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
215,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
216,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
217,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
218,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
219,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
220,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
221,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
222,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
223,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
224,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
225,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
226,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
227,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
228,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
229,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
230,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
231,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
232,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
233,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
234,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
235,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
236,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
237,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
238,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
239,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
240,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
241,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
242,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
243,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
244,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
245,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
246,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
247,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
248,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
249,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
250,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
251,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
252,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
253,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
254,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
255,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
256,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
257,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
258,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
259,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
260,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
261,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
262,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
263,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
264,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
265,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
266,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
267,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
268,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
269,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
270,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
271,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
272,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
273,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
274,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
275,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
276,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
277,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
278,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
279,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
280,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
281,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
282,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
283,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
284,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
285,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
286,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
287,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
288,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
289,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
290,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
291,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
292,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
293,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
294,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
295,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
296,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
297,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
298,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
299,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
300,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
301,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
302,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
303,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
304,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
305,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
306,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
307,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
308,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
309,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
310,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
311,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
312,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
313,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
314,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
315,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
316,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
317,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
318,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
319,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
320,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
321,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
322,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
323,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
324,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
325,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
326,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
327,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
328,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
329,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
330,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
331,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
332,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
333,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
334,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
335,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
336,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
337,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
338,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
339,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
340,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
341,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
342,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
343,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
344,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
345,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
346,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
347,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
348,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
349,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
350,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
351,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
352,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
353,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
354,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
355,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
356,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
357,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
358,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
359,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
360,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
361,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
362,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
363,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
364,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
365,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
366,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
367,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
368,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
369,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
